academicYear,term,termCode,courseCode,courseNumber,shortTitle,title,facultyDescription,subjectCode,subject,courseType,credits,creditUnvergraduate,creditGraduate,url,daysOfWeek,startTime,endTime,location,notes,description
2023,Spring,2,25963,119,AAAS E-119 Section 1 (25963),"Chocolate, Culture, and the Politics of Food","Carla D. Martin PhD, Lecturer on African and African American Studies, Harvard University",AAAS,African and African American Studies,Online,4,1,1,,,,,,"Online.<br><br>Required sections to be arranged.<br><br>The recorded lectures are from the Harvard Faculty of Arts and Sciences companion course African and African American Studies 119x. Registered students can ordinarily live stream the lectures Thursdays, 12:45-2:45 pm starting January 25 or they can watch them on demand. The recorded sessions are typically available within a few hours of the end of class and no later than the following business day. Class sessions for this course may include students enrolled in the FAS companion course. Accordingly, when you participate in live class sessions, you will do so alongside both Division of Continuing Education (DCE) and FAS students. If you participate in a way that causes you to appear in recordings of the class, those recordings may be shown to DCE students enrolled in this course or FAS students enrolled in the companion course, according to the policies of the two schools on accessing recordings of class sessions.<br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","This course examines the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called food of the gods. Interdisciplinary course readings introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate's future of scientific study, international politics, alternative trade models, and the food movement. Assignments address pressing real-world questions related to chocolate consumption, social justice, responsible development, honesty and the politics of representation in production and marketing, hierarchies of quality, and myths of purity."
2023,Fall,1,16855,1050,ANTH E-1050 Section 1 (16855),"Moctezuma's Mexico Then and Now: Ancient Empire, Race Mixture, and Finding LatinX","Davíd Carrasco PhD, Neil L. Rudenstine Professor for the Study of Latin America, Harvard University - William L. Fash PhD, Charles P. Bowditch Professor of Central American and Mexican Archaeology and Ethnology, Harvard University",ANTH,Anthropology and Archaeology,Online,4,1,1,http://my.extension.harvard.edu/course/ext-16855/2023,,,,,"Online.<br><br>Optional sections to be arranged.<br><br>The recorded lectures are from the Harvard Faculty of Arts and Sciences companion course Gen Ed 1148. Registered students can ordinarily live stream the lectures Mondays and Wednesdays, 10:30-11:45 am starting September 6 or they can watch them on demand. The recorded sessions are typically available within a few hours of the end of class and no later than the following business day. Class sessions for this course may include students enrolled in the FAS companion course. Accordingly, when you participate in live class sessions, you will do so alongside both Division of Continuing Education (DCE) and FAS students. If you participate in a way that causes you to appear in recordings of the class, those recordings may be shown to DCE students enrolled in this course or FAS students enrolled in the companion course, according to the policies of the two schools on accessing recordings of class sessions.<br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","This course provides students with the opportunity to explore how pre-Hispanic and Colonial Mexican and Latina/o cultures provide vital context for understanding today's changing world. The emphasis is on the mythical and social origins, glory days, and political collapse of the Aztec Empire and Maya civilizations as a pivot to the study of the sexual, religious, and racial interactions of the Great Encounter between Mesoamerica, Africa, Europe, and the independent nations of Mexico and the United States. The study of the archaeology, artistic media, cosmovision, capital cities, human sacrifice, and the religious devotions of ancient Mesoamerica illuminate the Day of the Dead and Virgin of Guadalupe phenomena today. Objects at the Peabody Museum are used to examine new concepts of race, nation, and the persistence of Moctezuma's Mexico in Latino identities in the Mexico-US Borderlands. This course empowers students to evaluate the ways the US is changing and struggling to define itself in relation to Latin America and especially the migration of peoples, ideas, arts, music, and food from and through Mexico."
2023,Fall,1,16903,1055,ANTH E-1055 Section 1 (16903),"Religions of Latin America: Mexico, Peru, El Caribe","Davíd Carrasco PhD, Neil L. Rudenstine Professor for the Study of Latin America, Harvard University - Pedro Noe Morales MTS",ANTH,Anthropology and Archaeology,Online or On Campus,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Fall%20Term%202023%20-%20Full%20Term/ANTH/E-1055/1,Wednesday,17:50:00,19:50:00,Harvard Hall 101,"Online or On Campus.<br><br>Optional sections to be arranged.<br><br>The recorded lectures are from the Harvard Divinity School course HDS 3705 and the Harvard Faculty of Arts and Sciences course Anthropology 1062.<br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","This course focuses on Mexico and the Mexican Americas from 1517-2017 while making comparisons with both Peru and religions of the Caribbean. While Mexican-based religions thread through the entire course, students can choose to also work on religious practices, sacred sites, and migration stories from either Peru or El Caribe in comparative perspective. We study emerging cult and folk hero worship such as Santa Muerte and Jes s Malverde. We examine symbols, root paradigms, saints, health practices, miracles, and migration by integrating archaeological, artistic, documentary, and ethnographic source materials and novels. Methods from anthropology, history of religions, religion, and literature are used to study race mixture, architecture, women's roles, transculturation, liberation theology, and plastic arts. An innovation in the course is the exploration of ways music and current musical trends such as reggaton, rap and narco corridos reflect religious devotions."
2023,January,5,26405,115,ANTH E-115 Section 1 (26405),Class and Culture,"James P. Herron PhD, Director of the Harvard Writing Project and Preceptor in Expository Writing, Harvard University",ANTH,Anthropology and Archaeology,Live Attendance Web Conference,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Spring%20Term%202024%20-%20January%20extended%20session/ANTH/E-115/1,Monday Tuesday Wednesday Thursday,14:00:00,17:00:00, ,"Live Attendance Web Conference.<br><br>Final papers due between January 18 and February 5. See course syllabus for details.<br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","It is commonplace to note that in the United States a large portion of the population self-identifies as middle class, even though our society is marked by deep, persistent, and increasing class inequality. Such self-identification, however, can obscure the complex and often contradictory ways in which we experience social class in our everyday lives. This course explores the cultural dimensions of social class in the US from an ethnographic perspective, focusing on the everyday lives and cultures of ordinary Americans. We consider questions such as the following: what is it like to be a working class person in a society heavily invested in ideas of individual advancement and meritocracy? How do professionals (the upper middle class) define themselves and how do they view those above and below them in the class structure? How does social class shape people's values, political views, and tastes? How are class boundaries created and maintained? The course readings are drawn mainly from anthropology and sociology. Students may not take both ANTH E-115 and SSCI E-115 (offered previously) for degree or certificate credit."
2023,Fall,1,16813,118,ANTH E-118 Section 1 (16813),Histories and Ethnographies of Capitalism,"James P. Herron PhD, Director of the Harvard Writing Project and Preceptor in Expository Writing, Harvard University",ANTH,Anthropology and Archaeology,Live Attendance Web Conference,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Fall%20Term%202023%20-%20Full%20Term/ANTH/E-118/1,Tuesday,15:00:00,17:00:00, ,"Live Attendance Web Conference.<br><br><br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","Karl Marx famously wrote that with the advance of capitalist social relations, ""all that is solid melts into air."" Here Marx refers to the supposed power of capitalism to destroy pre-existing economic, social, and cultural orders. In the centuries since capitalism spread over the globe, it has indeed transformed the lifeways and cultures of peoples throughout the world. In more recent years, globalization understood as the widespread and accelerated movement of capital across national borders has radically altered the lives of many peoples, from peasants in China to industrial workers in Michigan. This course critically examines capitalism historically and ethnographically. In the first part of the course, we consider historical accounts of the origins, development, and transformation of American capitalism, focusing on the key themes of slavery, industrialization, and financialization. In the second part of the course, we consider ethnographic accounts of life under contemporary capitalism, focusing on the cultural responses of peoples experiencing the rapid social change, dislocation, opportunities, and hardships brought about by changing capitalist social relations. We consider questions such as how have people coped culturally with the demands of capitalist wage labor and work discipline? How have capitalist social relations transformed communities, families, and senses of ethnic and national identity? Students may not take both ANTH E-118 and SSCI E-118 (offered previously) for degree or certificate credit."
2023,Spring,2,26739,1400,ANTH E-1400 Section 1 (26739),"Quests for Wisdom: Religious, Moral, and Aesthetic Searches for the Art of Living","Davíd Carrasco PhD, Neil L. Rudenstine Professor for the Study of Latin America, Harvard University - Arthur Kleinman MD, Esther and Sidney Rabb Professor of Anthropology, Harvard University, and Professor of Medical Anthropology and Professor of Psychiatry, Harvard Medical School - Stephanie A. Paulsell PhD, Susan Shallcross Swartz Professor of the Practice of Christian Studies, Harvard Divinity School",ANTH,Anthropology and Archaeology,Online,4,1,1,http://my.extension.harvard.edu/course/ext-26739/2024,,,,,"Online.<br><br>Optional sections to be arranged.<br><br>The recorded lectures are from the Harvard Faculty of Arts and Sciences companion course Anthropology 1400. Registered students can ordinarily live stream the lectures Wednesdays, 3:00-5:45 pm starting January 24 or they can watch them on demand. The recorded sessions are typically available within a few hours of the end of class and no later than the following business day. Class sessions for this course may include students enrolled in the FAS companion course. Accordingly, when you participate in live class sessions, you will do so alongside both Division of Continuing Education (DCE) and FAS students. If you participate in a way that causes you to appear in recordings of the class, those recordings may be shown to DCE students enrolled in this course or FAS students enrolled in the companion course, according to the policies of the two schools on accessing recordings of class sessions.<br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","This is an experimental course taught from the perspectives of anthropology and religious studies that is intended to be transformative for students and teachers alike. Our goal is to develop, in collaboration with students, a pedagogy for fostering students' personal quests for wisdom, through lectures and readings, extensive conversation, and other experiences inside and outside of class, including dramaturgical experiences with film or theater, caregiving, and meditation. As teachers we are inspired by William James's conception of knowledge in the university as a strategy needed to live a life of purpose and significance that also contributes to improving the world. In the words of Albert Camus, ""Real generosity toward the future lies in giving all to the present."" Together, we engage with the problems of danger, uncertainty, failure, and suffering that led the founders of the social sciences and humanities to ask fundamental questions about meaning, imagination, aesthetics, social life, and subjective experience. These are the same existential questions that bring ordinary people all over the world, and throughout history, to question common sense reality in the face of catastrophes and the violence of everyday life. The many answers to these questions wisdom that is found in religious, ethical, and aesthetic quests, expressions, and traditions are intended to furnish individuals' art of living with strategies to respond to potential and hope, pain and suffering; to promote healing; and to address concerns about salvation, redemption, or other kinds of moral-emotional transformation. Together through discussions, lectures, films, virtual museum visits, readings, and action we explore different paths to wisdom, including the youthful quest for truth, beauty, and goodness; the affirmation of caregiving for others as the means of applying wisdom to repair and improve the world; suffering and the ordeal of journeying through labyrinths and tests of courage; the discovery of wisdom in teachers and mentors near and far; and the process of creative mourning for past losses and shaping new beginnings."
2023,Fall,1,16949,1410,ANTH E-1410 Section 1 (16949),"The Storyteller in Flight: Migrant Narratives, Refugee Camp Cultures, and the Arts of Displacement","Lowell A. Brower PhD, Lecturer in Extension, Harvard University",ANTH,Anthropology and Archaeology,Live Attendance Web Conference,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Fall%20Term%202023%20-%20Full%20Term/ANTH/E-1410/1,Monday,20:10:00,22:10:00, ,"Live Attendance Web Conference.<br><br><br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","What are the effects of displacement on tradition, storytelling, and cultural belonging? How does forced migration influence narration, creative expression, and imagination? What are the powers and potentials of artistic communication after existential rupture? What is the role of the storyteller in flight? This course explores expressive cultures in motion, amid crisis, and out of place, and asks how tradition bearers and creative innovators adapt when the communities in which their preexisting cultural practices had once flourished are destroyed, uprooted, transformed, or dispersed. It also asks how researchers, aid workers, activists, and other outsiders might engage in ethical and beneficial ways with individuals and communities in exile. In examining the impacts of forced migration on cultural production, transmission, and innovation, we put classical theories of refugee and migration studies in conversation with recent ethnographies and folklore collections, as well as memoirs, novels, songs, and films by and about displaced persons. With case studies ranging from colonial Africa, to post-war Europe, to contemporary America, we explore what, if anything, holds together the refugee experience, while also interrogating our own neighborly obligations and scholarly commitments as we navigate what has famously been deemed the century of the migrant."
2023,Spring,2,26215,1645,ANTH E-1645 Section 1 (26215),Money and Power: Cultural Approaches to Economic Life,"James P. Herron PhD, Director of the Harvard Writing Project and Preceptor in Expository Writing, Harvard University",ANTH,Anthropology and Archaeology,Live Attendance Web Conference,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Spring%20Term%202024%20-%20Full%20Term/ANTH/E-1645/1,Tuesday,15:00:00,17:00:00, ,"Live Attendance Web Conference.<br><br><br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","This course considers how culture shapes the economic aspects of our lives. That is, we seek to understand the economy not as a separate realm with its own special logic and structure but instead as embedded in the social relations, identities, and cultural practices of everyday life. Our major course themes include exchange, money, debt, commodification, markets, and labor. We consider questions such as, how do the different kinds of exchanges we engage in gift exchanges versus market exchanges, for instance shape our relationships with others? We explore the social meaning of money and the role of the market in our lives. In a world where it is possible to rent a family, does money destroy love and intimacy? What aspects of our lives are governed by the logic of capitalism and what aspects escape capitalism's grip? Why does it feel shameful to be in debt, and how has this shame been manipulated for political purposes? Why in the US do we consider work to be sacred and morally purifying even though many of us have tedious jobs? The course readings include theoretical and empirical works drawn mainly from the fields of anthropology, economic sociology, and heterodox economics. Our key texts include David Graeber's Debt, Viviana Zelizer's The Social Meaning of Money, and Sidney Mintz's Sweetness and Power."
2023,Spring,2,26048,1660,ANTH E-1660 Section 1 (26048),Anthropology and Human Rights,"Theodore Macdonald, Jr. PhD, Affiliate of the Department of Social Studies, Harvard University",ANTH,Anthropology and Archaeology,Live Attendance Web Conference,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Spring%20Term%202024%20-%20Full%20Term/ANTH/E-1660/1,Wednesday,19:40:00,21:40:00, ,"Live Attendance Web Conference.<br><br><br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","This course combines an introduction to the formal, theoretical, and normative structures of human rights with analyses of contemporary case studies. It illustrates several critical human rights issues, debates, and practices that demonstrate the increasing significance of ethnographic field methods and related interpretive analysis. Accepting that agreement on and realization of human rights often require negotiation and compromise, the course illustrates why, and suggests how, realization of many broadly-defined human rights require specific contextualization."
2023,Spring,2,26589,1663,ANTH E-1663 Section 1 (26589),The Supernatural in the Modern World,"Lowell A. Brower PhD, Lecturer in Extension, Harvard University",ANTH,Anthropology and Archaeology,Live Attendance Web Conference,4,1,1,https://harvard.simplesyllabus.com/en-US/syllabus/Spring%20Term%202024%20-%20Full%20Term/ANTH/E-1663/1,Monday,20:10:00,22:10:00, ,"Live Attendance Web Conference.<br><br><br><br>Noncredit credit $1,500, undergraduate credit $2,040, graduate credit $3,220.<br><br>See <a href=""http://www.extension.harvard.edu"">http://www.extension.harvard.edu</a>","What do our ghost stories say about us, what do our beasts betray about us? Which witches bewitch us, which rumors consume us, and what sense can be made of what haunts us? Restless spirits, alien invaders, wicked witches, bloodthirsty vampires, legendary cryptids, murderous ogres, illuminati satanists, deep-state conspirators, memetic online menaces: our contemporary bestiary is overflowing with meaningful monsters. Our spine-tingling intellectual task in this course is to analyze the roles that these malevolent entities and the supernatural narratives we tell about them play in our everyday lives, collective psyches, communities, and politics, and in the crises we confront as individuals and groups. Are our occult stories allegories of our modern discontents or simply holdovers from our childhood nightmares? Are they symptoms of specific societal crises or representations of timeless pan-human fears? How has the witch hunt, the rumor panic, the standardized nightmare of the group transformed in this meme-ified age of online participatory culture, global interconnection, ecological catastrophe, and fake-news-driven conspiracy thinking? What can we learn about ourselves, our pasts, and our futures by thinking deeply about what scares us the most? And how frightened should we be of what we might find if we dig too deeply into that question? We analyze the supernatural in relationship historical memories, cultural anxieties, folk traditions, spiritual beliefs, physiological sensations, political conflicts, environmental disasters, and existential imperatives. Because nowhere is safe from the things that go bump in the night, our interdisciplinary journey takes us across time and space into the bellies of various beasts, from the gates of Harvard Yard, to the hills of Rwanda, the message boards of 4chan, the proms of rural Pennsylvania, the ships of the Middle Passage, the villages of medieval Europe, the halls of the White House, your creepy neighbor's basement, and the deep dark woods. Our abominable assignments include creative reading responses, the documentation and analysis of frightful folklore, a fearsome final project, and a co-created haunted Harvard virtual tour. Course activities may include local excursions, storytelling sessions, and paranormal experimentation."
